Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BARBARA ANTOLIÆ VUPORA;RADIMIR ÈAÈIÆ;MARIO LEŠINA;KRUNOSLAV LUKAÈIÆ;DENIS MLADENOVIÆ;DARKO NOVOSELEC;ANÐELKO STRIÈAK
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;020;DONJE MAKOJIŠÆE 2.;OSNOVNA ŠKOLA PODRUTE U DONJEM MAKOJIŠÆU;DONJE MAKOJIŠÆE 115;317;123;123;117;6;22;32;6;4;4;8;41
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;021;MAÐAREVO;PODRUÈNA ŠKOLA MAÐAREVO;MADŽAREVO 149;775;385;385;366;19;49;105;6;15;12;29;150
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;022;TOPLIÈICA;KUÆA VL. VLADE CESARA;TOPLIÈICA, ZLATARSKA 48;212;86;86;82;4;12;26;4;6;3;5;26
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;023;KRÈ;U POSLOVNOM PROSTORU VL. STJEPANA PAŽURA;KRÈ 44;360;167;167;160;7;20;40;7;22;4;8;59
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;024;JELENŠÈAK;KUÆA VL. NEVENKE KUZMIÆ;JELENŠÈAK 7;161;67;67;67;0;9;15;0;10;2;5;26
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;025;KAMENA GORICA;DRUŠTVENI DOM KAMENA GORICA;KAMENA GORICA 40 B;183;86;86;83;3;4;25;0;3;3;4;44
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;026;PODRUTE;ZADRUŽNI DOM PODRUTE (U PRIZEMLJU);PODRUTE 29;226;80;80;76;4;5;31;0;3;8;5;24
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;027;PODEVÈEVO;DRUŠTVENI DOM PODEVÈEVO;PODEVÈEVO 90;638;193;193;182;11;20;63;5;10;4;7;73
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;028;ZAVRŠJE PODBELSKO;PODRUÈNA ŠKOLA ZAVRŠJE PODBELSKO;ZAVRŠJE PODBELSKO 115;716;208;208;205;3;23;75;8;10;6;11;72
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;029;FILIPIÆI;KUÆA VL. DIJANE PISKAÈ;FILIPIÆI 2;101;20;20;20;0;1;7;0;0;0;0;12
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;030;GORNJE PODRUTE;DRUŠTVENI DOM GORNJE PODRUTE;PODRUTE 154 B;123;47;47;46;1;3;8;1;3;0;7;24
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;001;VARAŽDIN;PROSTORIJE GRADSKE  VIJEÆNICE (DVORANA PRIZ.LIJEVO);TRG KRALJA TOMISLAVA 1;494;248;247;239;8;32;81;18;11;18;13;66
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;002;VARAŽDIN;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA VARAŽDIN (DVORIŠTE);TRENKOVA 44;739;318;318;301;17;67;99;41;16;12;11;55
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;003;VARAŽDIN;BIVŠE PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA VARAŽDIN;ULICA STANKA VRAZA 8;506;213;213;199;14;37;85;24;6;9;4;34
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;004;VARAŽDIN;PROSTORIJE II. MJESNOG ODBORA;KOLODVORSKA 3;841;414;414;390;24;92;133;41;17;24;11;72
