Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AGRAMERI - NEZAVISNA LISTA;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, HRVATSKA RADIÆEVSKA STRANKA - HRS, PROMIJENIMO HRVATSKU - PH, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";BLOK UMIROVLJENICI ZAJEDNO - BUZ;CENTAR;DOMOVINSKI POKRET - DP, ZELENA LISTA;FOKUS;GRAÐANSKO-LIBERALNI SAVEZ - GLAS, DEMOKRATI;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP, GENERACIJA OBNOVE - GO;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, ZAGREB JE NAŠ!, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH, ZA GRAD;NARODNA STRANKA - REFORMISTI - REFORMISTI;NEZAVISNA LISTA TOMISLAV STOJAK - NLTS;POKRET ZA MODERNU HRVATSKU;RADNIÈKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ŽELJKO TOKIÆ;VESNA ŠKARE OŽBOLT - NEZAVISNA LISTA - VESNA ŠKARE OŽBOLT-NL;ZAGORSKA STRANKA ZA ZAGREB - ZSZ
21;GRAD ZAGREB;grad;GRAD ZAGREB;225;LUÈKO;OŠ LUÈKO;PUŠKARIÆEVA ULICA 102;1062;496;496;488;8;5;0;2;56;3;2;49;10;0;76;2;1;36;184;0;0;0;0;29;1;31;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;226;LUÈKO;OŠ LUÈKO;PUŠKARIÆEVA ULICA 102;1060;423;423;407;16;16;1;1;77;4;2;58;10;2;40;0;4;33;105;0;3;1;2;25;2;20;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;227;MALA MLAKA;"DJEÈJI VRTIÆ BOTINEC - PODRUÈNI OBJEKT ""MALA MLAKA""";MALOMLAÈKA ULICA 83;534;270;270;264;6;0;0;0;30;5;2;56;3;2;52;0;0;14;55;0;0;0;0;29;3;12;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;228;ODRA;OŠ ODRA;ÐAÈKA ULICA 5;934;456;456;450;6;7;1;0;60;3;4;61;6;3;96;1;3;28;113;0;1;0;1;48;0;13;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;229;ODRA;OŠ ODRA;ÐAÈKA ULICA 5;950;485;485;475;10;1;0;1;41;0;3;65;10;2;79;0;4;33;199;0;0;1;0;23;1;12;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;230;REMETINEC;CENTAR ZA KULTURU NOVI ZAGREB;TRG NARODNE ZAŠTITE 2;1506;634;634;625;9;6;2;0;44;0;10;51;20;9;71;2;4;29;292;0;0;0;0;60;0;24;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;231;REMETINEC;CENTAR ZA KULTURU NOVI ZAGREB;TRG NARODNE ZAŠTITE 2;1521;680;680;673;7;5;3;0;53;1;8;82;17;2;74;0;7;43;299;0;1;0;1;57;0;20;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;232;REMETINEC;CENTAR ZA KULTURU NOVI ZAGREB;TRG NARODNE ZAŠTITE 2;1462;627;624;615;9;13;1;1;54;3;7;49;11;8;53;3;8;38;256;0;0;1;2;71;2;33;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;233;SAVSKI GAJ;DJEÈJI VRTIÆ REMETINEC;NEHRUOV TRG 34A;1288;536;536;522;14;24;3;0;43;2;6;56;11;3;54;0;6;35;209;0;2;2;1;41;1;23;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;234;SAVSKI GAJ;DJEÈJI VRTIÆ REMETINEC;NEHRUOV TRG 34A;1145;536;536;528;8;13;2;1;29;4;4;35;8;7;48;0;6;25;267;0;1;0;1;60;4;12;1
