Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA BUNJEVAÈKA STRANKA - HBS;HRVATSKA STRANKA PRAVA - HSP;LiPO;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;LOVINAC;004;ŠTIKADA;"PROSTORIJE UPRAVNE ZGRADE ""LIGNUM"" U ŠTIKADI";ŠTIKADA;201;120;120;105;15;4;21;5;48;21;6
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;001;PERUŠIÆ;DOM KULTURE U PERUŠIÆU;PERUŠIÆ, HRVATSKE MLADEŽI 3;734;445;445;429;16;37;178;93;100;0;21
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;002;PERUŠIÆ;ZGRADA BIVŠE POŠTE U PERUŠIÆU (PRIZEMLJE);PERUŠIÆ, TRG POPA MARKA MESIÆA 5;158;74;74;74;0;6;38;7;14;2;7
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;003;PERUŠIÆ;ZGRADA BIVŠE OSNOVNE ŠKOLE U POCRNIÆIMA;PERUŠIÆ;72;19;19;19;0;1;13;2;3;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;004;PERUŠIÆ;KUÆA JOSE KOLAKA (GRUBIŠE);MALO POLJE 59;87;48;48;47;1;4;27;4;10;0;2
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;005;PERUŠIÆ;KUÆA JURE JURKOVIÆA;KVARTE 41 A;216;126;126;126;0;5;64;22;32;2;1
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;006;PERUŠIÆ;KUÆA ŽELJKA KRULJCA, KALUÐEROVAC;KALUÐEROVAC 14 A;20;13;13;13;0;0;11;2;0;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;007;PERUŠIÆ;KUÆA GORDANE PETRIÆ, STUDENCI;STUDENCI 51 A;42;9;9;9;0;0;3;3;0;0;3
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;008;PERUŠIÆ;DRUŠTVENI DOM DONJI KOSINJ;DONJI KOSINJ;108;81;81;78;3;10;50;4;11;1;2
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;009;PERUŠIÆ;ZGRADA BIVŠE OSNOVNE ŠKOLE RUDINKA;DONJI KOSINJ;134;118;118;114;4;2;98;6;7;1;0
