Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STIPO LUKAČ;DARKO MILINOVIĆ;ERNEST PETRY;DANIJEL TUŠAK;TOMISLAV ZRINSKI
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;001;KORENICA;OŠ DR. F. TUĐMAN, KORENICA (BLAGOVAONICA ŠKOLE);RIJEČKA BR. 2, KORENICA;811;432;431;374;57;31;133;64;102;44
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;002;KORENICA;UGOSTITELJSKO TURISTIČKA ŠKOLA P.JEZERA (RESTORAN MRSINJ);ZAGREBAČKA BR. 2, KORENICA;1391;793;793;708;85;81;214;160;203;50
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;003;MUKINJE;OSNOVNA ŠKOLA PLITVIČKA JEZERA;MUKINJE BR. 19;590;282;282;265;17;12;85;57;61;50
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;004;SMOLJANAC;OSNOVNA ŠKOLA SMOLJANAC;SMOLJANAC BR. 1;364;158;158;141;17;11;51;49;21;9
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;005;ČANAK;DRUŠTVENI DOM ČANAK;ČANAK BR. 50/1;43;13;13;13;0;4;2;5;2;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;006;DONJI VAGANAC;OSNOVNA ŠKOLA DONJI VAGANAC;VAGANAC BR. 26/1;134;81;81;72;9;9;15;35;11;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;PLITVIČKA JEZERA;007;LIČKO PETROVO SELO;PROSTORIJE UDRUGE TARA;LIČKO PETROVO SELO 55;142;81;81;73;8;6;19;10;28;10
09;LIČKO-SENJSKA ŽUPANIJA;općina;UDBINA;001;UDBINA;ZGRADA OPĆINE UDBINA (KANCELARIJA ZA SASTANKE);STJEPANA RADIĆA 6, UDBINA;904;530;530;446;84;34;172;151;35;54
09;LIČKO-SENJSKA ŽUPANIJA;općina;UDBINA;002;PODLAPAČA;OSNOVNA ŠKOLA PODLAPAČA (UČIONICA BROJ 2);PODLAPAČA 25;93;53;53;46;7;1;25;16;4;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;UDBINA;003;DEBELO BRDO;PROSTOR BIVŠE TRGOVINE (KRAJ OSNOVNE ŠKOLE);DEBELO BRDO 59;321;163;163;128;35;21;41;19;18;29
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;001;VRHOVINE-OŠ U ZALUŽNICI;OSNOVNA ŠKOLA U ZALUŽNICI;ZALUŽNICA;105;45;45;35;10;2;8;2;3;20
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;002;VRHOVINE - OŠ VRHOVINE;OŠ VRHOVINE;VRHOVINE;279;138;138;124;14;4;65;23;12;20
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;003;VRHOVINE - D. CENTAR ZA ST., G. VRHOVINE;DNEVNI CENTAR ZA STARIJE I NEMOĆNE OSOBE U GORNJIM VRHOVINAMA;GORNJE VRHOVINE;153;104;104;95;9;5;34;28;14;14
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;004;VRHOVINE - RUDOPOLJE KUĆA ŽIVKA VLAISAVLJEVIĆA;RUDOPOLJE U KUĆI ŽIVKA VLAISAVLJEVIĆA;RUDOPOLJE 21;45;20;20;20;0;0;17;0;0;3
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;005;VRHOVINE- TURJANSKI KUĆA BILJANE BRAKUS;U TURJANSKOM U KUĆI BILJANE BRAKUS;TURJANSKI 46;45;32;32;28;4;0;10;1;5;12
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;006;VRHOVINE - DRUŠTVENI DOM (PROSTORIJA MO) DONJI BABIN POTOK;DRUŠTVENI DOM (PROSTORIJA MO) DONJI BABIN POTOK;DONJI BABIN POTOK;75;42;42;36;6;1;19;7;3;6
09;LIČKO-SENJSKA ŽUPANIJA;općina;VRHOVINE;007;VRHOVINE - GORNJI BABIN POTOK KUĆA DELIĆ LJUBICE;OBITELJSKA KUĆA LJUBICE DELIĆ;GORNJI BABIN POTOK 45;54;34;34;34;0;0;6;7;1;20
