Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARKO JELIÆ;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NEZAVISNA LISTA STIPE PETRINA - NLSP;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;010;BIRAÈKO MJESTO 10;PROSTORIJE OSNOVNE ŠKOLE U PIRAMATOVCIMA;PIRAMATOVCI;244;66;66;61;5;40;1;10;2;4;0;4;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;011;BIRAÈKO MJESTO 11;PROSTORIJE OSNOVNE ŠKOLE  U KRKOVIÆU;KRKOVIÆ;311;99;99;94;5;46;2;4;9;11;6;10;3;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;001;BIRAÈKO MJESTO 1;TURISTIÈKO - UGOSTITELJSKA ŠKOLA;ANTE ŠUPUKA BB, ŠIBENIK;725;325;325;315;10;99;8;24;44;8;19;55;1;57
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;002;BIRAÈKO MJESTO 2;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A , ŠIBENIK;487;219;219;211;8;45;10;24;24;11;11;47;2;37
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;003;BIRAÈKO MJESTO 3;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A, ŠIBENIK;625;281;281;278;3;61;5;20;44;16;14;59;1;58
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;004;BIRAÈKO MJESTO 4;OSNOVNA ŠKOLA JURJA ŠIŽGORIÆA;STJEPANA RADIÆA 44 A, ŠIBENIK;987;430;430;419;11;119;11;28;52;22;10;121;0;56
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;005;BIRAÈKO MJESTO 5;OSNOVNA ŠKOLA JURJA ŠIŽGORIÆA;STJEPANA RADIÆA 44 A, ŠIBENIK;578;257;257;249;8;84;7;14;34;8;16;49;0;37
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;006;BIRAÈKO MJESTO 6;OSNOVNA ŠKOLA JURJA ŠIŽGORIÆA;STJEPANA RADIÆA 44 A, ŠIBENIK;616;221;220;213;7;46;3;16;23;10;17;42;2;54
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;007;BIRAÈKO MJESTO 7;OSNOVNA ŠKOLA TINA UJEVIÆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;844;387;387;370;17;109;10;18;48;22;21;77;2;63
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;008;BIRAÈKO MJESTO 8;OSNOVNA ŠKOLA TINA UJEVIÆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;705;267;267;260;7;76;5;10;30;14;17;57;3;48
