Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN CELJAK;DANIEL BERDAIS
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;011;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIĆA 18;965;400;400;381;19;303;78
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;012;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIĆA 18;966;436;436;416;20;310;106
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;013;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;933;378;378;362;16;274;88
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;014;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;879;402;402;375;27;276;99
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;015;PETRINJA;PODRUČNA ŠKOLA MATE LOVRAKA;ČEŠKO SELO, SISAČKA BB;1097;437;437;423;14;294;129
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;016;NOVA DRENČINA;HRVATSKI DOM NOVA DRENČINA;NOVA DRENČINA;321;181;181;171;10;150;21
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;017;BREST POKUPSKI;HRVATSKI DOM BREST POKUPSKI;BREST POKUPSKI;266;165;165;159;6;137;22
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;018;MALA GORICA;PODRUČNA ŠKOLA MALA GORICA;MALA GORICA;313;139;139;130;9;101;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;019;DONJA BUDIČINA;IGRALIŠTE U DONJOJ BUDIČINI;DONJA BUDIČINA (ŠATOR);229;117;117;113;4;93;20
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;020;TABORIŠTE;HRVATSKI DOM TABORIŠTE;TABORIŠTE;202;114;114;109;5;92;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;021;KRIŽ HRASTOVAČKI;PRIVATNA KUĆA ĐURE PEJAKOVIĆA;KRIŽ HRASTOVAČKI 22;256;137;137;130;7;109;21
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;022;HRASTOVICA;"NARODNI DOM ""STJEPAN RADIĆ"" HRASTOVICA";HRASTOVICA BB, HRASTOVICA;388;242;242;228;14;189;39
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;023;SREDNJE MOKRICE;DRUŠTVENI DOM SREDNJE MOKRICE;SREDNJE MOKRICE;185;103;103;100;3;85;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;024;NOVI FARKAŠIĆ;HRVATSKI DOM;NOVI FARKAŠIĆ;248;167;167;158;9;113;45
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;025;STRAŠNIK;HRVATSKI DOM STRAŠNIK;STRAŠNIK 26/A;504;271;271;261;10;222;39
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;026;GRABERJE;DRUŠTVENI DOM GRABERJE;GRABERJE 7/A (ŠATOR);123;73;73;69;4;63;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;027;NEBOJAN;DRUŠTVENI DOM NEBOJAN;NEBOJAN;148;78;78;70;8;47;23
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;028;MOŠĆENICA;HRVATSKI DOM MOŠĆENICA;MOŠĆENICA, ULICA MARINA DRŽIĆA 7;1209;610;610;564;46;353;211
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;029;MOŠĆENICA;OSNOVNA ŠKOLA MOŠĆENICA;MOŠĆENICA;978;547;547;515;32;297;218
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;030;PRNJAVOR ČUNTIČKI;DIC;PRNJAVOR ČUNTIČKI 1/B;201;103;103;99;4;64;35
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;031;JABUKOVAC;OSNOVNA ŠKOLA;JABUKOVAC;612;327;327;300;27;148;152
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;032;BLINJA;HRVATSKI DOM BLINJA;BLINJA (ŠATOR);319;169;169;152;17;61;91
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;033;GRABOVAC BANSKI;CENTAR ZA ŠLJIVU I KESTEN;DONJA BAČUGA 108/C (ŠATOR);385;161;161;143;18;46;97
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;034;NOVO SELIŠTE;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);276;139;139;136;3;108;28
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;035;SLANA;DRUŠTVENI DOM;SLANA;226;114;114;110;4;103;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;036;PETRINJA;PODRUČNA ŠKOLA MATE LOVRAKA;ČEŠKO SELO, SISAČKA BB;1044;462;462;443;19;313;130
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;001;GORNJA GRAČENICA;DOM GORNJA GRAČENICA;GORNJA GRAČENICA;847;496;496;476;20;354;122
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;002;CIGLENICA;DOM CIGLENICA;CIGLENICA;102;65;65;64;1;40;24
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;POPOVAČA;003;VOLODER;HRVATSKI PUČKI DOM VOLODER;VOLODER;769;425;425;404;21;328;76
