Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA, ALTERNATIVA 101 - ALTERNATIVA;BURA;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;LISTA ZA RIJEKU - RI, KVARNERSKA INICIJATIVA - REGIONALNA PLATFORMA - KVARNERSKA, STRANKA UMIROVLJENIKA - SU;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;RADNIÈKA FRONTA - RF;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVA RINÈIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, PRIMORSKO GORANSKI SAVEZ - PGS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SELJAÈKA STRANKA - HSS
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;007;PINEZIÆI;MJESNI DOM PINEZIÆI;PINEZIÆI;437;204;204;197;7;53;3;8;18;8;9;4;9;6;79
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;008;MILOHNIÆI;MJESNI DOM MILOHNIÆI;MILOHNIÆI;430;150;150;144;6;13;4;9;21;5;5;6;4;5;72
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;009;POLJICA;ŠKOLA POLJICA;POLJICA 14;417;179;179;174;5;41;4;7;45;2;6;4;2;6;57
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;001;MALI LOŠINJ;GRAD MALI LOŠINJ;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 7;873;469;468;448;20;49;8;20;132;13;22;13;14;13;164
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;002;MALI LOŠINJ;MUZEJ APOKSIOMENA;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 13;814;427;427;417;10;47;3;9;89;11;27;16;8;25;182
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;003;MALI LOŠINJ;VODOOPSKRBA I ODVODNJA CRES LOŠINJ D.O.O.;MALI LOŠINJ, TRG ŽRTAVA FAŠIZMA 6;1042;628;628;608;20;87;8;14;172;20;42;21;11;36;197
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;004;MALI LOŠINJ;UDRUGA UMIROVLJENIKA GRADA MALOG LOŠINJA;MALI LOŠINJ, BRAÆE IVANA I STJEPANA VIDULIÆA 14;1427;796;795;764;31;95;4;31;232;21;59;27;21;35;239
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;005;MALI LOŠINJ;POSLOVNI PROSTOR BIVŠE POSLOVNICE OTP BANKE;MALI LOŠINJ, CRESKA 3;1145;649;649;631;18;61;6;16;175;12;60;26;15;40;220
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;006;VELI LOŠINJ;PROSTORIJA MJESNOG ODBORA;VELI LOŠINJ, OBALA MARŠALA TITA 36;819;455;455;427;28;45;3;10;90;11;41;16;15;13;183
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;007;ILOVIK;ILOVIK - PROSTORIJA MJESNOG ODBORA;ILOVIK;135;59;59;57;2;5;0;4;26;1;5;2;1;4;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;008;SUSAK;SUSAK - PROSTORIJE MJESNOG ODBORA - DOM ISELJENIKA;SUSAK;257;75;75;74;1;3;2;0;40;0;4;3;5;0;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;009;UNIJE;UNIJE - PROSTORIJA OSNOVNE ŠKOLE;UNIJE;117;36;36;33;3;3;0;0;7;1;3;1;1;1;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;010;ÆUNSKI;ÆUNSKI - PROSTORIJE MJESNOG ODBORA;ÆUNSKI BR. 23;312;168;168;159;9;21;3;9;39;2;8;6;4;7;60
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;011;NEREZINE;"NEREZINE - PROSTORIJA ""GRADSKE VIJEÆNICE""";NEREZINE, TRG STUDENAC;532;283;283;278;5;32;2;7;76;6;15;19;4;14;103
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;012;PUNTA KRIŽA;PUNTA KRIŽA - PROSTORIJA OSNOVNE ŠKOLE;PUNTA KRIŽA;65;35;35;34;1;2;0;4;12;0;0;2;0;1;13
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;013;BELEJ;"BELEJ - PROSTORIJA ""ZADRUŽNOG DOMA""";BELEJ;81;52;52;49;3;8;0;2;11;2;2;2;5;0;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;001;BIRAÈKO MJESTO BR. 1;PROSTORIJE MJESNOG ODBORA KLENOVICA;KLENOVICA, OMLADINSKI PRILAZ 2;528;258;258;255;3;5;1;10;166;1;9;5;4;4;50
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;002;BIRAÈKO MJESTO BR. 2;PROSTOR RECEPCIJE U BIVŠEM TURISTIÈKOM NASELJU POVILE;POVILE, M. BUTKOVIÆA BB;240;114;114;113;1;1;1;1;77;2;0;2;1;1;27
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;003;BIRAÈKO MJESTO BR. 3;PROSTORIJE BIVŠE OSNOVNE ŠKOLE DONJI ZAGON;DONJI ZAGON B.B.;120;72;72;71;1;1;1;3;40;1;1;1;0;1;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;004;BIRAÈKO MJESTO BR. 4;PROSTORIJE DOMA KULTURE LEDENICE;LEDENICE;161;124;124;118;6;1;0;3;97;2;2;1;0;0;12
