Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IGOR ANDROVIÆ;DANIEL SPAJIÆ;MATE VUKUŠIÆ
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;003;VELIKO POLJE;DRUŠTVENI DOM;VELIKO POLJE;157;49;49;49;0;18;13;18
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;004;GORNJE BAZJE;DRUŠTVENI DOM;GORNJE BAZJE;379;215;215;207;8;167;22;18
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;005;TURANOVAC;PROSTORIJE MJESNOG ODBORA;TURANOVAC;599;262;262;257;5;177;23;57
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;006;KAPELA DVOR;DRUŠTVENI DOM;KAPELA DVOR;188;103;103;100;3;80;9;11
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;007;LUKAÈ;OSNOVNA ŠKOLA;LUKAÈ;371;171;171;164;7;120;12;32
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;008;BUDROVAC LUKAÈKI;DRUŠTVENI DOM;BUDROVAC LUKAÈKI;146;64;64;60;4;42;6;12
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;009;DUGO SELO LUKAÈKO;DRUŠTVENI DOM;DUGO SELO LUKAÈKO;447;172;172;167;5;109;42;16
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;LUKAÈ;010;BREZIK;PROSTORIJE MJESNOG ODBORA NA DJEÈJEM IGRALIŠTU;BREZIK;180;88;88;86;2;70;8;8
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;MIKLEUŠ;001;MIKLEUŠ;VIJEÆNICA OPÆINSKOG VIJEÆA OPÆINE MIKLEUŠ;NIKOLE ŠUBIÆA ZRINSKOG 93;705;328;328;318;10;228;35;55
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;MIKLEUŠ;002;BORIK;ZGRADA BIVŠE OSNOVNE ŠKOLE;BORIK;283;85;85;81;4;42;17;22
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;MIKLEUŠ;003;ÈETEKOVAC;ZGRADA OSNOVNE ŠKOLE ÈETEKOVAC;ÈETEKOVAC;241;140;140;133;7;115;12;6
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;NOVA BUKOVICA;001;NOVA BUKOVICA;DOM KULTURE NOVA BUKOVICA;TRG DR. FRANJE TUÐMANA 1;309;162;162;149;13;94;15;40
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;NOVA BUKOVICA;002;NOVA BUKOVICA;VATROGASNI DOM NOVA BUKOVICA;ZAGREBAÈKA 3;312;185;185;177;8;92;14;71
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;NOVA BUKOVICA;003;BREZIK;MJESNI DOM;BREZIK;120;86;86;83;3;70;3;10
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;NOVA BUKOVICA;004;MILJEVCI;HRVATSKI-SLOVAÈKI DOM;KRALJA TOMISLAVA 18;239;139;139;138;1;99;17;22
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;NOVA BUKOVICA;005;DOBROVIÆ;SEOSKI DOM;DOBROVIÆ;122;68;68;62;6;22;3;37
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;NOVA BUKOVICA;006;BUKOVAÈKI ANTUNOVAC;SEOSKI DOM;BUKOVAÈKI ANTUNOVAC;150;50;50;47;3;27;6;14
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;NOVA BUKOVICA;007;DONJA BUKOVICA;SEOSKI DOM;DONJA BUKOVICA;72;27;27;26;1;20;1;5
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;PITOMAÈA;001;KLADARE;VATROGASNI DOM;KLADARE 33 B;360;198;198;190;8;132;15;43
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;PITOMAÈA;002;DINJEVAC;PODRUÈNA ŠKOLA;DINJEVAC, VLADIMIRA NAZORA 60;344;201;201;192;9;163;20;9
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;PITOMAÈA;003;GRABROVNICA;PODRUÈNA ŠKOLA;GRABROVNICA 98 A;323;192;192;182;10;113;32;37
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;PITOMAÈA;004;STAROGRADAÈKI MAROF;PODRUÈNA ŠKOLA;STAROGRADAÈKI MAROF 6 A;170;112;112;111;1;77;17;17
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;PITOMAÈA;005;STARI GRADAC;PODRUÈNA ŠKOLA;STARI GRADAC, VLADIMIRA NAZORA 115 B;522;256;255;248;7;175;32;41
