Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, ZELENA LISTA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAČKA STRANKA - HSS, SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA PRAVNE DRŽAVE - HSPD
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;004;GORNJE BAZJE;DRUŠTVENI DOM;GORNJE BAZJE;379;215;215;205;10;30;142;5;4;24
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;005;TURANOVAC;PROSTORIJE MJESNOG ODBORA;TURANOVAC;599;262;262;257;5;28;158;6;7;58
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;006;KAPELA DVOR;DRUŠTVENI DOM;KAPELA DVOR;188;103;103;103;0;9;78;3;1;12
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;007;LUKAČ;OSNOVNA ŠKOLA;LUKAČ;371;170;170;163;7;16;111;5;4;27
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;008;BUDROVAC LUKAČKI;DRUŠTVENI DOM;BUDROVAC LUKAČKI;146;64;64;60;4;10;35;3;0;12
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;009;DUGO SELO LUKAČKO;DRUŠTVENI DOM;DUGO SELO LUKAČKO;447;172;172;164;8;42;97;7;2;16
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;010;BREZIK;PROSTORIJE MJESNOG ODBORA NA DJEČJEM IGRALIŠTU;BREZIK;180;86;86;83;3;12;57;2;1;11
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;MIKLEUŠ;001;MIKLEUŠ;VIJEĆNICA OPĆINSKOG VIJEĆA OPĆINE MIKLEUŠ;NIKOLE ŠUBIĆA ZRINSKOG 93;705;328;328;315;13;38;210;13;5;49
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;MIKLEUŠ;002;BORIK;ZGRADA BIVŠE OSNOVNE ŠKOLE;BORIK;283;85;85;80;5;18;38;5;2;17
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;MIKLEUŠ;003;ČETEKOVAC;ZGRADA OSNOVNE ŠKOLE ČETEKOVAC;ČETEKOVAC;241;140;140;135;5;13;103;5;10;4
